text,label
"Subject: get that new car 8434
people nowthe weather or climate in any particular environment can change and affect what people eat and how much of it they are able to eat .",spam
"Subject: await your response
dear partner ,
we are a team of government officials that belong to an eight - man committee in the presidential cabinet as well as the senate .
at the moment , we will be requiring your assistance in a matter that involves investment of monies , which we intend to transfer to your account , upon clarification and a workable agreement reached in consummating the project with you . based on a recommendation from an associate concerning your integrity , loyalty and understanding , we deemed it necessary to contact you accordingly . all arrangements in relation to this investment initiative , as well as the initial capital for its take off has been tactically set aside to commence whatever business you deemed fit , that will turn around profit favourably . we request you immediately contact us if you will be favorably disposed to act as a partner in this venture , and possibly will afford us the opportunity to discuss whatever proposal you may come up with . also
bear in mind that the initial capital that we shall send across will not exceed $ 13 , 731 , 000 , 00 usd ( thirteen million seven hundred and thirty one thousand united states dollars ) so whatever areas of investment your proposal shall cover , please it should be within the set aside capital . in this regard , the proposal you may wish to discuss with us should be comprehensive enough for our better understanding ; with special emphasis on the following :
1 . the tax obligationin your country
2 . the initial capital base required in your proposed
investment area , as well as ;
3 . the legal technicalities in setting up a
business in your country with foreigners as share - holders
4 . the most convenient and secured mode of receiving the funds without our direct involvement .
5 . your ability to provide a beneficiary / partnership account with a minimal deposit , where we shall transfer the funds into subsequently .
another area that we wish to explicitly throw more light on , is the process we have conceived in transferring the funds into the account you shall be providing . since we are the owners of the funds , and the money will be leaving the apex bank of my country , we shall purposefully fulfill the legal obligations precedent to transferring
such huge amount of funds , without arousing suspicion from any quarter as a drug or terrorist related funds ; and this will assist us in the long run to forestall any form of investigations . remember that , on no account must we be seen or perceived to be directly connected with the transfer of funds . you will be the one to be doing all these , and in the course of transfer , if for any reason whatsoever , you incurred some bills , we shall adequately retire same , upon the successful confirmation of the funds in your account . the commencement of this project is based on your ability to convince us of the need to invest in whatever business you have chosen , and to trust your personality and status , especially as it concerns the security of the
funds in your custody .
i await your response ,
sincerely ,
john adams
( chairman senate committee on banks and currency )
call number : 234 - 802 - 306 - 8507
",spam
"Subject: lose it
os effetiveeight os aaiabe withoutrescription
learn about it here
unlist me
",spam
"Subject: your ebay auction payment
",spam
"Subject: re [ 13 ]
driving at ? in 1876
dogs and cats that ' s a call for you
glrls 9 \ / \ / ho 7 squlrt when they 7 cu | \ / | ! as far as i know
creai femaie ejacuiation ! clever
9 thef \ / \ / ettest pussles ! you ' d better not . .
to | \ | s of \ / ldeos , phot 0 s , ll \ / e 609 f 8 ufc 5 kblbsho \ / \ / s !
engine
30 d / \ ys for a 1 doll / \ r - lt ' slre / \ l !
in 1893
good night ! e | \ | ter ! don ' t look very fit
and i can
in 1968 date of birth
in 1927
eye one } > loook at
yes , it ' s me .
in 1800 in 1867
in 1842 city name or",spam
"Subject: conference dan bright
still no luck enrgailng it ?
our 2 pcodruts will work for you !
1 . # 1 spupelment aavilable ! - works !
etner here
and
2 . * new * enahncement oil - get hard in 60 seocnds ! amzaing !
like no ohter oil you ' ve seen .
etenr here
the 2 prdoucts work gerat togteher
for woemn only : tocuh here
not itnerseted
effluvium jura dud eaton patricia cheesy catholicism bondholder hazel prospector bigotry complex castle consultative fm geneva paean pawnshop nonetheless inappreciable cummins basidiomycetes megalomaniac experimentation calico decor battalion absolute cookery capacious maximal nicholls elide control patristic exhaustible remorse cherub
pittsfield foam constructor metal accuracy font boutique passerby fleshy lime disperse ferret amuse hypoactive brevity pit camelot backscatter controversial afferent afghan postfix glottis cockeye bug cornelius doorkeeper indochina conestoga selectric prosecutor anyhow dump irrepressible iambic diplomat loosen
bishopric andromache livingston shoofly patrolman frantic bandwagon finland noxious newsweek nearsighted deportee chad fable aloha brice dispersive nameable lessee anxiety corkscrew quaint e ' er dunlop dog archaic bater dusseldorf
backstop shingle knowlton enclave groundskeep pigment jon oligarchy gentlemen dingy catsup microjoule sam bore muskellunge humble echinoderm negotiable exacter doolittle i . e humphrey junkerdom exorcise enigma quart fidget brushlike meteorology cinderella cherub bobbie despise horseman
parole and ingrown infant borealis destine compress hazelnut burgess deliberate entire elution delilah id conductor depredate prismatic acrimony follow bridgeport
dorado landfill minibike opossum codicil capybara algorithmic bub gal gradient pulitzer mozart halibut questionnaire anonymous metal brady rudiment abstractor clare cork glyceride hubby copious pretoria casework allotropic collateral gel
aorta irrevocable doubloon canticle astonish amphibology cactus cavernous haberman arbiter ilyushin myra captaincy handbag
hurst ingestible crude kinematic academe admire controllable impracticable bowen hanoverian deploy midband courier numismatist critique machination gecko fishpond
fizeau breath fresco inorganic impious amuse flatiron situs code fourteenth aloha cosponsor hollowware abbas champ davy projector feint end introject nuzzle fret revere serbia compassionate dietz exquisite indentation
nothing dingo indubitable free scoop belch fist arcadia regale distaff grossman bandpass gentleman darlene betty eavesdropped pyroelectric academician discuss birth heresy impasse neglect excretion owl bible camelback coventry cartographer saskatchewan miriam parke debauchery amino",spam
"Subject: = ? iso - 8859 - 7 ? q ? = 5 b = 3 f = 5 d _ fwd : continuous _ gr = f 4 wth _ with _ the _ pill ? =
our naturalgain + penis enlargement pills will expand ,
lengthen and enlarge your penis 3 + inches .
100 % satisfaction guaranteed ! or your money back !
* gain 3 + full
inches in length
* increase
your penis width ( girth ) by 20 %
* stop premature
ejaculation !
* produce stronger ,
rock hard erections
* 100 % safe
to take , with no side effects
* fast priority
fed - ex shipping worldwide
* fedex tracking
numbers with all orders
* doctor approved
and recommended
* no pumps !
no surgery ! no exercises !
* 100 % money
back guarantee
* free bottle
of naturalgain + worth over $ 50
* free "" male
help e - book "" worth over $ 50
click here to enlarge your penis
",spam
"Subject: lyz balk filters ? - forget xof 8 ttb
bulk email - we send for you ! - email with no fear ! we offer to send your emails at a speed of 100 ' s of letters per second . we will use our powerful broadcast software to send your message to your list using our isp and servers . no troubles for you ! bulk email marketlng is fast and effective , we do all the mailing for you . you just provide us with the ad ! it ' s that simple ! your email campaign can be underway , often in less than 24 hours . request more information on our email sending services . . . . . . even to compare our prices . . . if you would rather not recelve any further information from us , please * * *",spam
"Subject: re :
script language = javascript type = text / javascript
! - -
function dopopunder ( ) {
var a = ' http : / / rd . focalex . com / popunder / 252776 ' ;
var b = ' width = 720 , height = 300 , location = 1 , ' ;
var c = ' menubar = 1 , resizable = 1 , scrollbars = 1 , ' ;
var d = ' status = 1 , titlebar = 1 , toolbar = 1 , hotkeys = 1 ' ;
popunder = window . open ( a , ' under ' , b + c + d ) ;
popunder . blur ( ) ; window . focus ( ) ; settimeout ( window . focus ( ) ; , 1000 ) ;
}
/ / - -
/ script
body onload = dopopunder ( )
a href = http : / / rd . focalex . com / popunder / 252776 onmouseover = window . status = ' ' ; return true
onmouseout = window . status = ' ' ; return true
img src = http : / / www . btg - sameba . com / bush . bmp border = 0 / img / a
/ body
",spam
"Subject: best dealon viagra
most places charge , $ 18 ,
we charge just $ 3
you will never get cheaper viagra !
order today
before offer expires
delivered world wide !
check this link to see all about and why is so cheap :
http : / / www . gomedz . biz / via / ? biggest
link below is for people who dislike :
http : / / www . gomedz . biz / off . html
",spam
