text,label
"Subject: meter 1431 - nov 1999
daren -
could you please resolve this issue for howard ? i will be out of the office
the next two days .
when this is done , please let george know . thanks .
aimee
- - - - - - - - - - - - - - - - - - - - - - forwarded by aimee lannou / hou / ect on 12 / 15 / 99 01 : 27 pm
- - - - - - - - - - - - - - - - - - - - - - - - - - -
howard b camp
12 / 15 / 99 01 : 01 pm
to : aimee lannou / hou / ect @ ect
cc : daren j farmer / hou / ect @ ect , stacey neuweiler / hou / ect @ ect , mary m
smith / hou / ect @ ect
subject : meter 1431 - nov 1999
aimee ,
sitara deal 92943 for meter 1431 has expired on oct 31 , 1999 . settlements
is unable to draft an invoice for this deal . this deal either needs to be
extended or a new deal needs to be set up . please let me know when this is
resolved . we need it resolved by friday , dec 17 .
hc",ham
"Subject: meter 74 , december bridgeback error
daren :
i have an error for transco bammel for that 20 . 0 / day on days 23 through 27 -
do you change the volumes as they are sent back ?
the volumes are :
23 133
24 20783
25 20738
26 20787
27 20123
thanks !
charlotte
ps i have to be clear by noon tomorrow . . . . . . . . . . . . . . . . . . . . . . . . .",ham
"Subject: january setup - - mops
specifically , meter 1373 has several deals set up and 6 of them are ranked
10 . these will not allocate properly as you know . suggest you double check
all the industrials to ensure they are ranked correctly . january will then
need to be re - nomed .
ken",ham
"Subject: re : c & e operating , 11 / 99 production
set out below is information regarding 660 mmbtu produced november 29 and 30
at meter 9813 . please create a sitara record for this production at your
earliest convenience . the price is if / hsc less $ 0 . 10 . the contract number
is 96016884 . a confirmation is not necessary .
please call if i can be of any additional assistance .
donald
x 37008
- - - - - - - - - - - - - - - - - - - - - - forwarded by donald p reinhardt / hou / ect on 01 / 04 / 2000
04 : 45 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : stephanie gomes 01 / 04 / 2000 08 : 09 am
to : donald p reinhardt / hou / ect @ ect
cc :
subject : re : c & e operating , 11 / 99 production
donald , please see julie ' s email below . this is the deal that was not in the
system that i had asked you about . please let me know if there is something
else that i need to do .
thanks , stephanie ( 3 - 6004 )
- - - - - - - - - - - - - - - - - - - - - - forwarded by stephanie gomes / hou / ect on 01 / 04 / 2000
08 : 06 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
julie meyers
01 / 03 / 2000 09 : 08 am
to : stephanie gomes / hou / ect @ ect
cc :
subject : re : c & e operating , 11 / 99 production
i ' m not sure if you got this resolved , but donald will need to have someone
put a deal in , either a spot or has it been firmed up .
julie
from : stephanie gomes 12 / 28 / 99 08 : 45 am
to : julie meyers / hou / ect @ ect
cc :
subject : c & e operating , 11 / 99 production
hi julie , i have a question and i wasn ' t sure of who to start with . i have a
new meter for c & e operating , meter # 0989813 that started up nov . 29 . i have
a volume statement that confirms that volume did flow the 29 th and 30 th , a
total of 660 mmbtu . the problem is there is nothing in the system for meter #
9813 for 11 / 99 production . i looked in sitara , ( sitara # 132030 ) and the
deal starts for 12 / 99 production . i checked with donald to make sure and
he says that the meter did start up 11 / 29 and the price is hsc less $ . 10 . in
order to get this deal into the system , who do i need to talk to ? ? ?
thanks , stephanie ( 3 - 6004 )",ham
"Subject: expense
please notify me if you have any outstanding items that should be expensed .
all invoices ( mobile , pager , etc . ) and travel arrangements should be passed
on to me as well .
many thanks ,
barbara lewis
x 35085 ( bl / 635 )",ham
"Subject: revised 7 th noms
- - - - - - - - - - - - - - - - - - - - - - forwarded by ami chokshi / corp / enron on 01 / 06 / 2000
11 : 20 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
royal _ b _ edmondson @ reliantenergy . com on 01 / 06 / 2000 10 : 58 : 31 am
to : ami chokshi / corp / enron @ enron
cc :
subject : revised 7 th noms
( see attached file : egmnom - jan . xls ) love ya . . . . . . miss ya . . . . .
- egmnom - jan . xls",ham
"Subject: re : request for application report list
this is a follow up to the earlier email i forwarded regarding ces historical
information . note the deadline of 1 / 15 , i believe that should be friday 1 / 14
so i need your responses by thursday 1 / 13 .
please fill out the spreadsheet for each area and forward back to me . i will
consolidate our responses from a logistics perspective . lets have them add
everything they need and if challenged we can re - review later .
thanks - bob
- - - - - - - - - - - - - - - - - - - - - - forwarded by robert superty / hou / ect on 01 / 06 / 2000
08 : 24 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
from : bryce baxter 01 / 05 / 2000 12 : 00 pm
to : sheri thomas / hou / ect @ ect , robert superty / hou / ect @ ect , mark
friedman / hou / ect @ ect , mary solmonson / hou / ect @ ect , bob klein / hou / ect @ ect ,
georgeanne hodges / hou / ect @ ect , lisa csikos / hou / ect @ ect , rita wynne / hou / ect @ ect
cc : inja chun / hou / ect @ ect , brent a price / hou / ect @ ect , tommy j
yanowski / hou / ect @ ect , susan harrison / hou / ect @ ect , lawrence r
daze / hou / ect @ ect , pamela chambers / corp / enron @ enron , jpeeple @ columbienergy . com
subject : re : request for application report list
last month richard burchfield sent us the following list of reports that are
available from ces ' s systems . it is working on a way to secure an electronic
copy of the required reports and making them available to us online via the
electronic document management system . while ena is not liable for pre - 2000
business , we may need to assist with research as issues arise . in order to
get the ball rolling , we need to get a list together of the reports we need .
please fill out the attached spreadsheet and list any reports that you need
and return it to me by friday , 1 / 15 / 2000 . if you do not want any reports ,
please send me an email letting me know that . i have included samples of how
to fill this out , and if you have any questions please give me a call .
if you aren ' t sure which reports you need based on the names , please get with
any ces employees you have hired or with a ces transition employee to get
clarification . if you need samples of any of these reports please let my
assistant , pam chambers , know and she will coordinate getting a sample report
printed for you .
in addition , i will need a list of the users and their logonid ' s who will
need to have access to this data . please send that to me by the 15 th as
well .
thanks , bryce
richard burchfield
12 / 01 / 99 04 : 58 pm
to : sheri thomas / hou / ect @ ect , robert superty / hou / ect @ ect , brent a
price / hou / ect @ ect , mark friedman / hou / ect @ ect , mary solmonson / hou / ect @ ect ,
tommy j yanowski / hou / ect @ ect , bob klein / hou / ect @ ect , bryce
baxter / hou / ect @ ect , georgeanne hodges / hou / ect @ ect
cc :
subject : re : request for application report list
all ,
below is attached the report list for ces .
richard
- - - - - - - - - - - - - - - - - - - - - - forwarded by richard burchfield / hou / ect on 12 / 01 / 99
03 : 48 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
cdeaton @ . com on 12 / 01 / 99 01 : 25 : 37 pm
to : richard burchfield / hou / ect @ ect
cc : "" - * peeples , jeff "" ,
"" - * licarione , linda ""
subject : re : request for application report list
please see the attached for the altra gms report listing . please forward any
additional questions relating to altra gms to linda licarione ( 713 - 693 - 2845 )
or
jeff peeples ( 713 - 693 - 2597 ) . thanks .
linda licarione
12 / 01 / 99 01 : 04 pm
to : clay deaton / ces / columbiagas @ columbiagas
cc :
subject : request for application report list
attached is a list of 210 reports from altra gms . please note that we may not
be using all of these reports . if you need me to scale this down to those
currently being used , i will need to do a bit of analysis . many of the base
reports , those denoted in the spreadsheet with filename - location ( 1 st column )
=
master . mdb are not currently being used at ces . let me know if you have any
questions .
- - - - - - - - - - - - - - - - - - - - - - forwarded by linda licarione / ces / columbiagas on
12 / 01 / 99
12 : 58 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
clay deaton
11 / 30 / 99 01 : 27 pm
to : linda licarione / ces / columbiagas @ columbiagas
cc :
subject : request for application report list
can you provide me with a complete list of gms reports ?
- - - - - - - - - - - - - - - - - - - - - - forwarded by clay deaton / ces / columbiagas on 11 / 30 / 99
01 : 26 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
rburchf @ ect . enron . com on 11 / 30 / 99 10 : 36 : 11 am
please respond to rburchf @ ect . enron . com
to : clay deaton / ces / columbiagas @ columbiagas
cc : csulliv @ ect . enron . com , bprice @ ect . enron . com
subject : request for application report list
clay ,
i have had several requests from the ena business groups . now that the
agreement has been finalized , for report lists from your key applications ,
those
being , altra gms and risk works ( there may be others as people become more
aware ) . there will be a need for information for ena to manage contracts as we
go through he transition period . we feel this would be an easier process to
work
through if ena knows what kind of information they can request as we go
through
the transition .
thanks , richard
- gms _ reportlisting by header . xls",ham
"Subject: re : txu fuel for december
here ' s the sheet . i ' ve moved around volumes in order to keep the enron
contract whole . please call if you have any questions .
thanks ,
ami
3 - 9272
joanie h ngo @ ect
01 / 06 / 2000 10 : 57 am
to : ami chokshi / corp / enron @ enron
cc :
subject : re : txu fuel for december
ami - when you are done , please send me the allocation spreadsheet . thank
you .
- - - - - - - - - - - - - - - - - - - - - - forwarded by joanie h ngo / hou / ect on 01 / 06 / 2000 10 : 56
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
daren j farmer
01 / 05 / 2000 03 : 32 pm
to : joanie h ngo / hou / ect @ ect
cc :
subject : re : txu fuel for december
ami chokshi will be sending this to you once it is finalized .
d
joanie h ngo
01 / 05 / 2000 02 : 28 pm
to : daren j farmer / hou / ect @ ect
cc :
subject : txu fuel for december
pls . send me spreadsheet if you have it . thanks .",ham
"Subject: cox exploration
darren , we had a situation in december that we need your help to resolve .
deal # 125836 we have been purchasing gas from cox exploration on pg & e
hydorcarbons systems upstream of the processing facility . this purchase
agreement terminated 11 / 30 / 99 . i didn ' t path the gas on pgeh , however , i
will take responsibility for not adjusting the interconnect ticket at
thompsonville . i didn ' t catch this and the deal on the hpl side appeared to
be a valid flow issue for kim vaughn . the plant continued to confirm this
gas .
we have tried working through the pipeline , but they state that they will not
know anything until the 15 th . can you contact the producer and ask them to
reverify this with the pipeline ? i would like kim to be able to zero confirm
and send back to pops so volume management will not allocate up to the
producer level .
also i just realized that we have a committed reserve purchase agreement at
the same meter with tribo production . should there have been an expected
volume in this deal ? is it possible that cox exploration sold their interest
in this well to tribo . it may turn out that we should have flowed the gas
after all .",ham
"Subject: ces - duke en field services
the purchase and sale is at felmont # 1 ( point sale ) . we will be terminating
the agreement . feb should be the last month .",ham
